,titulo,resumo,sessao,data,portal,link,sentiment,proba_positiva,proba_negativa
0,GLOBONEWS: assista às últimas notícias e análises no 'Edição das 16',, GloboNews ,2020-07-21 16:31:27.822554,G1,https://g1.globo.com/globonews/ao-vivo/globonews-ao-vivo.ghtml,1,0.5829567479887799,0.41704325201122006
1,Aneel proíbe corte de energia de famílias mais pobres até o fim do ano,"Regra já estava em vigor, mas com prazo até o fim deste mês. ", Economia ,2020-07-21 16:32:27.823123,G1,https://g1.globo.com/economia/noticia/2020/07/21/aneel-proibe-corte-de-energia-de-familias-de-baixa-renda-ate-o-fim-do-ano-em-todo-o-pais.ghtml,1,0.8664479055363747,0.13355209446362526
2,"Após decisão do Supremo, PGR busca dados da Lava Jato em Curitiba","No início do mês, Toffoli ordenou que todas as investigações fossem compartilhadas.", Operação lava jato ,2020-07-21 15:31:27.823542,G1,https://g1.globo.com/politica/operacao-lava-jato/noticia/2020/07/21/tecnicos-da-pgr-chegam-a-curitiba-para-obter-dados-das-investigacoes-da-lava-jato.ghtml,1,0.8195773713814157,0.18042262861858427
3,"'Injeção de ânimo', diz 1ª voluntária a testar vacina chinesa em SP",Médica de 27 anos está entre os 890 profissionais que participam da pesquisa., São Paulo ,2020-07-21 15:31:27.824063,G1,https://g1.globo.com/sp/sao-paulo/noticia/2020/07/21/hospital-das-clinicas-comeca-testes-da-vacina-chinesa-contra-covid-19-em-profissionais-de-saude-voluntarios.ghtml,0,0.024294612890651737,0.9757053871093483
4,"Anvisa autoriza 3º teste clínico de vacina no Brasil, agora da Pfizer",O que já se sabe sobre os avanços das vacinas contra a Covid, Coronavírus ,2020-07-21 14:31:27.824678,G1,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/21/anvisa-autoriza-farmaceutica-a-realizar-ensaio-clinico-de-vacina-contra-a-covid-19.ghtml,1,0.5983730642011168,0.4016269357988832
5,Cientista de Oxford diz que há possibilidade de vacina neste ano,GUROVITZ: Vacina em 2021 seria feito comparável ao pouso na Lua, Coronavírus ,2020-07-21 07:31:27.825237,G1,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/21/e-possivel-nao-certo-que-vacina-contra-covid-19-estara-disponivel-neste-ano-diz-desenvolvedora-de-oxford.ghtml,0,0.10526955775990529,0.8947304422400947
6,Brasileiro de 34 anos lidera promissora pesquisa de Oxford,Papel do infectologista Pedro Folegatti é de controle dos efeitos da vacina nos voluntários., Coronavírus ,2020-07-21 15:31:27.825771,G1,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/21/e-o-maior-desafio-da-minha-carreira-brasileiro-dorme-4h-por-noite-e-lidera-pesquisa-de-vacina-em-oxford.ghtml,1,0.5690215593595631,0.4309784406404369
7,"Senado pede, e Toffoli suspende buscas da PF no gabinete de Serra",Investigações suspeitam de caixa 2; senador nega e critica 'espetacularização', Política ,2020-07-21 11:31:27.826418,G1,https://g1.globo.com/politica/noticia/2020/07/21/toffoli-suspende-mandado-de-busca-no-gabinete-de-serra.ghtml,1,0.5983730642011168,0.4016269357988832
8,Fundador da Qualicorp é preso na mesma operação que mira Serra,Entenda o esquema investigado pela PF, São Paulo ,2020-07-21 06:31:27.827001,G1,https://g1.globo.com/sp/sao-paulo/noticia/2020/07/21/pf-cumpre-mandados-em-nova-fase-da-lava-jato-em-sp.ghtml,1,0.5983730642011168,0.4016269357988832
9,MEC adia inscrições para o Fies no 2º semestre,"Inicialmente previsto para começar hoje, nova data não foi definida.", Educação ,2020-07-21 16:32:27.827552,G1,https://g1.globo.com/educacao/noticia/2020/07/21/mec-adia-inscricoes-para-o-fies-no-segundo-semestre.ghtml,1,0.5983730642011168,0.4016269357988832
10,Fundeb deve ser votado hoje em meio a menos gastos do governo com educação,"Entenda o que é o Fundeb, como é hoje e o que pode mudar
20 governadores pedem aprovação do texto discutido na Câmara ", Economia ,2020-07-21 05:31:27.828289,G1,https://g1.globo.com/economia/noticia/2020/07/21/debate-sobre-renovacao-do-fundeb-se-da-em-cenario-de-gasto-decrescente-em-educacao.ghtml,1,0.7502011289504804,0.2497988710495196
11,Pacientes aguardam por cirurgia em sala superlotada no Rio,Pacientes relatam problemas na na maior emergência médica do estado., Rio de Janeiro ,2020-07-21 17:06:27.828833,G1,https://g1.globo.com/rj/rio-de-janeiro/post/2020/07/21/pacientes-aguardam-por-cirurgia-em-sala-superlotada-do-hospital-souza-aguiar-no-centro-do-rio.ghtml,1,0.6271238352749567,0.37287616472504326
12,Governo deixará de financiar a maior pesquisa sobre mapeamento da Covid,Ministério da Saúde afirma que dará continuidade a estudos e que estuda alternativas., Rio Grande do Sul ,2020-07-21 08:31:27.829385,G1,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/07/21/ministerio-da-saude-nao-renova-pesquisa-sobre-efeitos-da-covid-19-na-populacao-brasileira-diz-ufpel.ghtml,1,0.5517645420922082,0.44823545790779185
13,Cientistas desenvolvem exame de sangue capaz de detectar câncer precocemente,Pesquisa mostra que teste detectou 5 tipos da doença até 4 anos antes de outros métodos., Ciência e Saúde ,2020-07-21 15:31:27.829775,G1,https://g1.globo.com/ciencia-e-saude/noticia/2020/07/21/cientistas-desenvolvem-exame-de-sangue-capaz-de-detectar-cancer-precocemente.ghtml,1,0.610995958313455,0.389004041686545
14,Estado de SP atinge 20 mil mortes com piora da situação no interior,"Afastado por problemas no coração, secretário de saúde de SP deixa o cargo", São Paulo ,2020-07-21 13:31:27.830412,G1,https://g1.globo.com/sp/sao-paulo/noticia/2020/07/21/estado-de-sp-registra-383-mortes-por-coronavirus-em-24-horas-e-total-ultrapassa-20-mil-desde-inicio-da-pandemia.ghtml,1,0.794715804381708,0.20528419561829203
15,"Brasil chega a 80,4 mil mortes por Covid e 2,1 milhões de casos",8 estados têm alta nos casos. Levantamento é do consórcio de veículos de imprensa., Coronavírus ,2020-07-20 20:31:27.831032,G1,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/21/casos-e-mortes-por-coronavirus-no-brasil-em-21-de-julho-segundo-consorcio-de-veiculos-de-imprensa.ghtml,1,0.5530202662075272,0.4469797337924728
16,Veja em quais estados as mortes estão subindo e onde estão caindo,Entenda como é calculada a média móvel,,2020-07-20 20:31:27.831676,G1,https://especiais.g1.globo.com/bemestar/coronavirus/estados-brasil-mortes-casos-media-movel/#/,1,0.5983730642011168,0.4016269357988832
17,"Distanciamento, máscara e lavar as mãos são a melhor estratégia contra Covid, diz estudo",Métodos são os recomendados pela OMS e por especialistas em todo o mundo., Coronavírus ,2020-07-21 15:31:27.832233,G1,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/21/combinar-distanciamento-social-mascaras-e-higiene-das-maos-e-melhor-estrategia-para-combater-covid-19-mostra-estudo.ghtml,0,0.3919231296505935,0.6080768703494065
18,Filho de guarda humilhado por desembargador fala de orgulho do pai,"Eduardo Hilário disse que ficou triste com a situação, mas que pai soube lidar com o ataque.", Santos e Região ,2020-07-21 17:20:27.832785,G1,https://g1.globo.com/sp/santos-regiao/noticia/2020/07/21/filho-de-guarda-humilhado-por-desembargador-se-diz-orgulhoso-de-pai-e-meu-heroi.ghtml,1,0.8609462030413816,0.13905379695861841
19,Filho escala parede do hospital para se despedir da mãe com Covid pela janela,"Rasmi, de 73 anos, morreu no dia 16 enquanto seu filho de 30 anos a observava do lado de fora.", Mundo ,2020-07-21 15:31:27.833367,G1,https://g1.globo.com/mundo/noticia/2020/07/21/filho-escala-parede-do-hospital-ate-janela-e-se-despede-da-mae-internada-por-coronavirus.ghtml,1,0.840963138075005,0.159036861924995
