,titulo,portal,sentiment
0,"Negros são 75% dos mortos pela polícia no Brasil, aponta relatório",Exame,neg
1,Cientistas descobrem anticorpos potentes contra novo coronavírus,Exame,neg
2,Maioria das grávidas que morreram de covid-19 no mundo são do Brasil,Exame,neg
3,Morre o ex-presidente da Câmara Severino Cavalcanti,Exame,neg
4,"Pela primeira vez, estado de SP supera 15 mil internados por covid-19",Exame,neg
5,"Economistas preveem 2,5 milhões de casos de covid-19 até o fim do mês",Exame,neg
6,Governo dos EUA aplica primeira pena de morte a preso após 17 anos,Exame,neg
7,"2ª onda de covid-19 pode causar 120 mil mortes no Reino Unido, diz estudo",Exame,neg
8,Autoridades dizem que corpo encontrado em lago é de Naya Rivera,Exame,neg
9,Como uma pessoa isolada em quarentena passou covid-19 para 71 pessoas,Exame,neg
10,"Com quase 50 casos confirmados, ebola se espalha no Congo",Exame,neg
11,Adolescente morre vítima de peste bubônica na Mongólia,Exame,neg
12,México supera 35 mil mortes e se torna 4º do mundo com mais óbitos,Exame,neg
13,Novo coronavírus causa alterações anormais no coração dos infectados,Exame,neg
14,Maior estudo sobre coronavírus indica principais fatores de risco,Exame,neg
15,"Zindzi Mandela, filha de Nelson Mandela, morre na África do Sul",Exame,neg
16,"Brasil registra 968 mortes por covid-19 e supera 1,8 milhão de casos",Exame,neg
17,São Paulo ultrapassou marca de 366 mil casos confirmados de covid-19,Exame,neg
18,"Em outra pandemia, Brasil já perdeu presidente em 1919",Exame,neg
19,Ex-deputado Alfredo Sirkis morre em acidente de carro no Rio de Janeiro,Exame,neg
20,"Prefeito de Seul que estava desaparecido é encontrado morto, diz agência",Exame,neg
21,Morre o dramaturgo e escritor Antonio Bivar aos 81 anos,Exame,neg
22,Inundações transformam ruas em rios e deixam ao menos 44 mortos no Japão,Exame,neg
23,Compositor italiano Ennio Morricone morre aos 91 anos,Exame,neg
24,"Martha Rocha, a primeira Miss Brasil, morre aos 83 anos",Exame,neg
25,"Após reabertura, casos da covid-19 aumentam em 12 de 18 capitais do Brasil",Exame,neg
26,Dados apontam subnotificação da covid-19 nas favelas do Rio,Exame,neg
27,Ator Leonardo Villar morre aos 96 anos,Exame,neg
28,"Covid-19, violência e morte: o estressante ofício de paramédicos mexicanos",Exame,neg
29,"Operação de Segurança deixa 1.324 mortos na Venezuela em 5 meses, diz ONU",Exame,neg
30,O mistério da morte de centenas de elefantes em Botsuana,Exame,neg
31,Tsunami de lama mata 126 mineiros em Mianmar; veja vídeo,Exame,neg
32,Ciclone-bomba deixa 10 mortos e rastro de destruição no Sul,Exame,neg
33,Mortes por covid-19 na América Latina podem quadruplicar sem prevenção,Exame,neg
34,"Osório Furlan, um dos pioneiros da Sadia, morre aos 97 anos",Exame,neg
35,"Brasil empurra combate à covid-19 com a barriga, diz biólogo",Exame,neg
36,"Brasil tem 57.658 mortes por coronavírus, mostra consórcio",Exame,neg
37,"Mortes de crianças por covid-19 são extremamente incomuns, diz estudo",Exame,neg
38,"SP tem mais mortes após reabrir, mas governo diz que é cedo para deduções",Exame,neg
39,Mortes por coronavírus no Brasil devem passar de 166 mil até outubro,Exame,neg
40,Argentina em quarentena atinge 1.000 mortes por covid-19,Exame,neg
41,Ataque com faca deixa mortos na Inglaterra; polícia considera “terrorismo”,Exame,neg
42,"Com mais de 600 novos óbitos, Brasil supera 50 mil mortes por covid-19",Exame,neg
43,"Homem se recusa a usar máscara em mercado, esfaqueia gerente e é morto",Exame,neg
44,"Morre Nevaldo Rocha, fundador do grupo Guararapes, da Riachuelo",Exame,neg
45,Índia passa Brasil e registra mais de 2 mil mortes por coronavírus em 24h,Exame,neg
46,A América fracassa no teste do marshmallow,Exame,neg
47,"Com fiança de US$ 750 mil, policial envolvido na morte de Floyd é solto",Exame,neg
48,Morte de mais um homem negro por asfixia é investigada nos Estados Unidos,Exame,neg
49,Isolamento britânico uma semana antes poderia ter reduzido mortes em 50%,Exame,neg
50,Brasil passa Suécia em mortes por milhão por covid-19,Exame,neg
51,"Terry Crews faz vídeo para família de João Pedro, menino negro morto no RJ",Exame,neg
52,Enterro de George Floyd em Houston ganha aspecto de campanha eleitoral,Exame,neg
53,"Morre a cantora Bonnie Pointer, das Pointer Sisters, aos 69 anos",Exame,neg
54,"Mortes por covid-19 passam de 51 mil no Reino Unido, incluindo suspeitas",Exame,neg
55,Justiça fixa fiança de US$1 mi para policial acusado de matar George Floyd,Exame,neg
56,Funeral de George Floyd deve reunir milhares de pessoas nos Estados Unidos,Exame,neg
57,Governo informa números contraditórios sobre mortes e casos de covid-19,Exame,neg
58,Escócia não registra nenhuma nova morte por coronavírus nas últimas 24h,Exame,neg
59,Economista Carlos Lessa morre aos 83 anos de covid-19,Exame,neg
60,Estados Unidos registram 1021 mortes por coronavírus em 24 horas,Exame,neg
61,Cantora gospel Fabiana Anastácio morre em SP vítima do novo coronavírus,Exame,neg
62,"Rihanna, Harry Styles e Halsey: celebridades aderem ao #blacklivesmatter",Exame,neg
63,"Diretor de teatro e ópera, Iacov Hilel morre aos 71 anos",Exame,neg
64,Espanha não registra novas mortes por coronavírus desde domingo,Exame,neg
65,"Brasil beira 30 mil mortes por coronavírus, e OMS diz que pico não chegou",Exame,neg
66,Morre em São Paulo o ex-juiz Nicolau dos Santos Neto,Exame,neg
67,Covid-19: Brasil ultrapassa marca de 500 mil casos e beira 30 mil mortes,Exame,neg
68,Policial que asfixiou George Floyd é preso sob acusação de assassinato,Exame,neg
69,Jornalista e escritor Gilberto Dimenstein morre aos 63 anos,Exame,neg
70,Taxa de morte por coronavírus é maior entre negros e analfabetos,Exame,neg
71,"Em meio à pandemia, EUA registra protestos contra violência policial",Exame,neg
72,Covid-19 provoca mais de 350 mil mortes e avança na América Latina,Exame,neg
73,Fim da quarentena em SP?; Brasil lidera mortes em 24h e tudo para ler hoje,Exame,neg
74,Brasil lidera registro diário de mortes por coronavírus no mundo,Exame,neg
75,"Brasil pode ter 88,3 mil mortes por coronavírus em agosto, projeta Opas",Exame,neg
76,Brasil passa os Estados Unidos em número de mortes diárias de coronavírus,Exame,neg
77,RJ ultrapassa marca de 4 mil óbitos e acumula 39 mil casos de coronavírus,Exame,neg
78,"Morre Vadão, ex-técnico da seleção feminina de futebol, aos 63 anos",Exame,neg
79,"Após Brasil bater recordes, cinco estados se aproximam do colapso",Exame,neg
80,Suécia supera 4 mil mortes por coronavírus,Exame,neg
81,"Nas favelas do Rio, 20% das mortes por coronavírus acontecem em casa",Exame,neg
82,"No Brasil, só um em cada três pacientes graves de covid-19 sobrevive",Exame,neg
83,"Brasil, EUA e México têm mais mortos por coronavírus neste domingo",Exame,neg
84,SP chega a 6.163 mortes por coronavírus e supera 82 mil casos confirmados,Exame,neg
85,Forte ciclone deixa ao menos 82 mortos e inunda regiões na Ásia,Exame,neg
86,Suécia passa a liderar mortes per capita de coronavírus no mundo,Exame,neg
87,Senado aprova projeto que inclui morte por covid-19 em seguros de vida,Exame,neg
88,Alemã acende milhares de velas para vítimas da covid-19 no país,Exame,neg
89,Mundo chega a 5 milhões de casos de coronavírus com Brasil em alta,Exame,neg
90,"EUA passam de 1,5 milhão de casos e de 90 mil mortos pela covid-19",Exame,neg
91,Segunda foi dia com menos mortes por covid-19 no mundo desde fim de março,Exame,neg
92,Reino Unido registra quase 43 mil mortes por coronavírus,Exame,neg
93,"Com 2.000 respiradores, mortalidade no Chile é 3 vezes menor que no Brasil",Exame,neg
94,"Morre, aos 94 anos, o ator francês Michel Piccoli",Exame,neg
95,Prefeitura do Rio vai adquirir contêineres frigoríficos para hospitais,Exame,neg
96,"Jornalismo perde o escritor Luiz Maklouf Carvalho, morto aos 67 anos",Exame,neg
97,Espanha e Itália registram menor número de mortes por covid-19 em 2 meses,Exame,neg
98,Os últimos refúgios: Madagascar tem primeira morte por coronavírus,Exame,neg
99,Número de mortos por coronavírus no Brasil cresce 50% em uma semana,Exame,neg
100,Coronavírus: São Paulo tem 3.961 novos caso e 186 mortes nas últimas 24h,Exame,neg
101,Taxa de mortalidade indica que coronavírus pode ter feito mais vítimas,Exame,neg
102,12.000 idosos morreram de covid-19 em lares na Inglaterra e em Gales,Exame,neg
103,"Em São Paulo, um em cada cinco internados em UTI por coronavírus morre",Exame,neg
104,Mortes por coronavírus no mundo passam de 300 mil,Exame,neg
105,Pesquisa dos EUA projeta 90 mil mortes por covid-19 até agosto no Brasil,Exame,neg
106,"Em 30 dias, covid-19 mata mais no Brasil que AVC, violência e acidentes",Exame,neg
107,Chile anuncia aumento de casos de covid-19 e quarentena geral em Santiago,Exame,neg
108,Estado de São Paulo já tem mais de 4 mil mortos por covid-19,Exame,neg
109,"Enquanto Europa inicia desconfinamento, América Latina tem 400 mil casos",Exame,neg
110,"Estados Unidos registram 1,9 mil mortes por coronavírus em 24 horas",Exame,neg
