,titulo,portal,sentiment
0,Aluno que trabalhava como lixeiro entra em Harvard,G1,pos
1,Abrigo de idosos no Rio de Janeiro pede doação de afeto durante a pandemia,G1,pos
2,A gente não deveria se importar com quem nos ajudou a seguir em frente em meio à pandemia?,G1,pos
3,Companhia aérea em Taiwan oferece voos de mentira para turistas com saudade de viajar,G1,pos
4,Segurança de supermercado usa o próprio guarda-chuva para proteger cão na Escócia,G1,pos
5,Médico de 103 anos completa na Bélgica 'maratona em partes' para ajudar pesquisas sobre a Covid-19,G1,pos
6,Parque de diversões na Dinamarca permite cães uma vez por ano,G1,pos
7,Família salva urso que nadava com pote preso na cabeça em lago nos EUA; assista,G1,pos
8,"Com voos cancelados, homem navega por 85 dias entre Portugal e Argentina para rever os pais",G1,pos
9,Mergulhadores libertam baleia que estava presa em rede de pesca na Itália,G1,pos
10,"Geladeira na rua, varal de máscaras, doação de alimentos: veja as ações para ajudar o próximo em tempos de pandemia",G1,pos
11,"Viagem de jegue, 'clínica' caseira, 'mudança' para o carro: profissionais de saúde se reinventam para atender pacientes e proteger familiares ",G1,pos
12,Orgulho que cresce nos crespos ,G1,pos
13,DJ convida pessoas brancas a enviarem plantas para amigos negros como gesto de solidariedade ,G1,pos
14,"Casamentos, aniversários, formaturas, chás de bebê: veja a criatividade das comemorações em tempos de coronavírus",G1,pos
15,Os reféns de uma decisão que não foi tomada por eles,G1,pos
16,Músicos de diferentes países se unem online para tocar ‘Bohemian Rhapsody’; assista,G1,pos
17,A cientista que viajou ao espaço e depois ao ponto mais fundo do oceano,G1,pos
18,Instituição para idosos na Argentina cria 'cortina do abraço' e reconecta residentes e familiares,G1,pos
19,Iniciativa faz 'delivery' de currículos para ajudar desempregados de Porto Alegre,G1,pos
20,Da Baixada Fluminense à Califórnia: o jovem cientista brasileiro selecionado para estudar o coronavírus,G1,pos
21,"Sorrisos, palmas, músicas, alívio e fé: veja comemorações de idosos curados da Covid-19",G1,pos
22,Começa a doer como se fosse em você. Te transforma,G1,pos
23,"Com quase 95 anos, brasileira que foi voluntária na 2ª Guerra agora ajuda na luta contra a Covid-19",G1,pos
24,"Precisa doer, incendiar nosso conforto ",G1,pos
25,"Piscina e igrejas reabertas, pais passeando com filhos, robôs servindo café: a retomada da vida no mundo em meio à pandemia do coronavírus",G1,pos
26,Pequenos empresários russos doam refeições e equipamentos a médicos e hospitais que combatem coronavírus,G1,pos
27,"Quando viu as paredes da casa do menino João Pedro, cravadas de balas, você pensou na sua casa?",G1,pos
28,"Bicharada 'solta', céu limpo e ar puro: os retratos da natureza em tempos de coronavírus",G1,pos
29,Jogadores do Boca Juniors e do River Plate doam camisas para transformar em máscaras contra COVID-19,G1,pos
30,Parque de animais marinhos celebra nascimento de sua 2ª geração de golfinhos na França,G1,pos
31,Pai surpreende filha com cerimônia de formatura diante de casa nos EUA,G1,pos
32,"Contra a letargia, consciência e pertencimento",G1,pos
33,"Doação de dinheiro do cofrinho, cartinhas, desenhos e fantasia: veja como crianças enfrentam a pandemia no Brasil e no mundo",G1,pos
34,Estudo usa raios X para comprovar descoberta da fotografia no Brasil em 1833,G1,pos
35,Cachorrinho recebe carta de vizinho de 10 anos se oferecendo como 'babá' de pet,G1,pos
36,Gigafoto de obra-prima de Rembrandt permite explorar pintura em detalhes,G1,pos
37,Pastor alemão surpreende acolhendo cervos órfãos que dona leva para casa nos EUA,G1,pos
38,Noruega quer desenterrar barco viking funerário pela 1ª vez em um século,G1,pos
39,‘Ele soluçava e perguntava pelos amigos’: o final feliz de festa de aniversário de menino com autismo em meio à pandemia,G1,pos
40,Pai e filha usam fantasias para levar lixo durante o isolamento na Espanha,G1,pos
