,titulo,portal,sentiment
0,Incor começa a usar respiradores desenvolvidos pela USP: Covid,SoNoticiaBoa,pos
1,Brasileira ganha prêmio por pesquisa sobre câncer nos EUA,SoNoticiaBoa,pos
2,Caem novos casos de Covid em 13 estados brasileiros,SoNoticiaBoa,pos
3,Webinário gratuito reúne personalidades brasileiras,SoNoticiaBoa,pos
4,Jovem empreendedor vende paçoca no semáforo pra realizar sonho,SoNoticiaBoa,pos
5,Estudante brasileira é a única a vencer 4 vezes concurso da...,SoNoticiaBoa,pos
6,“Cantinho do Saber” leva livros em paletes para crianças na favela,SoNoticiaBoa,pos
7,Profissionais da saúde cantam pra pacientes em hospital de campanha: vídeo,SoNoticiaBoa,pos
8,É hoje LIVE de cantora de 8 anos: alimentar famílias carentes,SoNoticiaBoa,pos
9,Estudante brasileiro picado por cobra naja acorda do coma: investigado,SoNoticiaBoa,pos
10,UFPB cria inseticida de sisal que mata mosquito da Dengue,SoNoticiaBoa,pos
11,Empresa abre 10 mil vagas em home office em plena pandemia,SoNoticiaBoa,pos
12,Homens gays agora podem doar sangue no Brasil: Anvisa,SoNoticiaBoa,pos
13,Brasil tem 7 das dez melhores universidades da América Latina,SoNoticiaBoa,pos
14,"Paciente diabética vence Covid, dança no hospital e é aplaudida: vídeo",SoNoticiaBoa,pos
15,Mulher canta com vaca no celeiro e animal acompanha. Vídeo,SoNoticiaBoa,pos
16,Doméstica que era tratada como escrava estuda com neto na quarentena,SoNoticiaBoa,pos
17,Menina com paralisia cerebral faz balé e melhora movimentos: vídeo,SoNoticiaBoa,pos
18,Foto de brasileiro é destaque em concurso internacional: “Quarentena”,SoNoticiaBoa,pos
19,Chega ao mercado tecido capaz de eliminar Covid em 2 minutos,SoNoticiaBoa,pos
20,20 hábitos positivos que o brasileiro aprendeu na pandemia e quer...,SoNoticiaBoa,pos
21,"Brasil ultrapassa 1 milhão de recuperados da covid, mas se liga!",SoNoticiaBoa,pos
22,Engenheira assume pela 1ª vez comando de fábrica da Fiat no...,SoNoticiaBoa,pos
23,Professor e ex-catador cria aparelho barato pra alunos de baixa renda...,SoNoticiaBoa,pos
24,1ª brasileira a receber a vacina de Oxford contra Covid: “ato...,SoNoticiaBoa,pos
