,titulo,portal,sentiment
0,Última Ceia em altíssima resolução mostra detalhes de Jesus,SoNoticiaBoa,pos
1,Cientistas do Canadá criam máscara que desativa coronavírus,SoNoticiaBoa,pos
2,É hoje! Júpiter aparecerá mais brilhante e poderá ser visto a olho nu,SoNoticiaBoa,pos
3,Sobrinha ensina tio analfabeto a ler e escrever durante pandemia,SoNoticiaBoa,pos
4,Lewis Hamilton faz 2 protestos contra racismo no GP de F1,SoNoticiaBoa,pos
5,Nova York tem 1º dia sem morte após 4 meses: Covid,SoNoticiaBoa,pos
6,35 anos do Live Aid. Queen homenageia Freddie Mercury no Dia...,SoNoticiaBoa,pos
7,Menino cria caça-palavras pra rainha da Inglaterra e recebe surpresa,SoNoticiaBoa,pos
8,Japão inaugura novo trem-bala: viaja a quase 300 km por hora,SoNoticiaBoa,pos
9,Drone flagra 64 mil tartarugas de espécie em risco nadando juntas:...,SoNoticiaBoa,pos
10,Estudante brasileira é a única a vencer 4 vezes concurso da...,SoNoticiaBoa,pos
11,Qualidade da água melhora e golfinhos são vistos em Portugal. Vídeo,SoNoticiaBoa,pos
12,“Covid não pode parar nosso amor”: diz casal de 90 anos,SoNoticiaBoa,pos
13,Casal salva águia gigante que se afogava. Assista!,SoNoticiaBoa,pos
14,Paris lança cinema flutuante grátis: barcos com distanciamento,SoNoticiaBoa,pos
15,Idoso salta de paraquedas aos 103 anos e bate recorde mundial,SoNoticiaBoa,pos
16,Jovem que trabalhou como lixeiro vai cursar Direito em Harvard. Vídeo,SoNoticiaBoa,pos
17,Gorila ameaçada de extinção está grávida: 1º bebê em 2 décadas,SoNoticiaBoa,pos
18,Cientistas criam filtro de ar capaz de destruir Covid em 99%,SoNoticiaBoa,pos
19,Enfermeira toca violino para pacientes de Covid após turno. Assista,SoNoticiaBoa,pos
20,Fotógrafos registram cometa que está passando “perto” da Terra,SoNoticiaBoa,pos
21,Máscaras transparentes deixam respirar com sorriso no rosto,SoNoticiaBoa,pos
22,Mãe vence a Covid e tem trigêmeos saudáveis,SoNoticiaBoa,pos
23,Maradona reaparece limpo das drogas e agradece a médico,SoNoticiaBoa,pos
24,"Brasil ultrapassa 1 milhão de recuperados da covid, mas se liga!",SoNoticiaBoa,pos
25,Alemanha proíbe de vez o uso de plástico e isopor no...,SoNoticiaBoa,pos
26,Tem eclipse daqui a pouco e será visível no Brasil,SoNoticiaBoa,pos
27,Homem com “chance zero” de sobreviver se cura da Covid,SoNoticiaBoa,pos
28,"Bozoma, a nova diretora de Marketing da Netflix",SoNoticiaBoa,pos
29,"Além de eclipse, julho terá chuva de estrelas cadentes",SoNoticiaBoa,pos
30,Modelo de 56 anos vira capa de revista e quebra preconceitos...,SoNoticiaBoa,pos
31,Casal de agricultores cria própria dança e afasta depressão. Vídeo,SoNoticiaBoa,pos
32,Mais um eclipse lunar penumbral esta semana:  visível no Brasil,SoNoticiaBoa,pos
33,Família salva bebê urso com galão plástico preso na cabeça. Vídeo,SoNoticiaBoa,pos
34,Lockdown fez 60% dos pais se reaproximarem dos filhos: novo normal,SoNoticiaBoa,pos
35,Itália tem menor número de mortes por Covid em 24h desde...,SoNoticiaBoa,pos
36,Empresário doa próprio salário e paga bônus de 4 milhões a...,SoNoticiaBoa,pos
37,Brasil assume 1º lugar em número de recuperados da Covid no...,SoNoticiaBoa,pos
38,Itália será 1º país a reabrir fronteiras com apoio da ONU,SoNoticiaBoa,pos
39,Empresário cria máscaras com próprio rosto das pessoas e dribla crise,SoNoticiaBoa,pos
40,Presidente de Portugal dá aula online pra alunos de escola pública:...,SoNoticiaBoa,pos
41,Casal de idosos se abraça e se beija com plástico após...,SoNoticiaBoa,pos
42,"Garotinho salvo após agressão dos pais, retribui a hospital: R$ 3...",SoNoticiaBoa,pos
43,"Gari, mãe de 7, aproveita quarentena e se forma na faculdade",SoNoticiaBoa,pos
44,Filhote de leão que sofreu maus-tratos melhora após 1 ano. Veja,SoNoticiaBoa,pos
45,4 milhões de recuperados da Covid no mundo: mas não relaxe!,SoNoticiaBoa,pos
46,Malala recebe diploma de Oxford e emociona o mundo,SoNoticiaBoa,pos
47,País ergue estátua de 6 metros em homenagem a profissionais de...,SoNoticiaBoa,pos
48,Africanos fazem máscaras de EPI pra hospitais com plástico reciclado,SoNoticiaBoa,pos
49,Prefeito de Londres corta próprio salário pra enxugar gastos da cidade,SoNoticiaBoa,pos
50,Barbra Streisand doa ações da Disney pra filha de George Floyd:...,SoNoticiaBoa,pos
51,Jovens criam pulseira que assegura distanciamento social,SoNoticiaBoa,pos
52,Pesquisadores flagram 64 mil tartarugas na Austrália. Vídeo,SoNoticiaBoa,pos
53,Lançado band-aid para todos os tons de pele,SoNoticiaBoa,pos
54,"Itália, Alemanha, França e Holanda vão receber vacina de Oxford: acordo",SoNoticiaBoa,pos
55,Eclipse solar desta semana tem formato de anel de fogo,SoNoticiaBoa,pos
56,Rússia anuncia produção de vacina e distribui 1º lote de Avifavir,SoNoticiaBoa,pos
57,Jovem posta foto durante e após drogas pra ajudar outros dependentes,SoNoticiaBoa,pos
58,Adidas apoia campanha da Nike contra o racismo: “Don’t Do It”,SoNoticiaBoa,pos
59,Google oferece 5 mil reais para time que trabalha em home...,SoNoticiaBoa,pos
60,"Nova Zelândia tem abraços, compras e mãos dadas: desconfinamento",SoNoticiaBoa,pos
61,Nova Zelândia está livre da covid: primeira-ministra comemora dançando,SoNoticiaBoa,pos
62,A França conseguiu! A pandemia está “controlada” no país,SoNoticiaBoa,pos
63,Laboratório começa a fabricar vacina de Oxford: covid,SoNoticiaBoa,pos
64,Queniano de 9 anos faz máquina de lavar as mãos pra...,SoNoticiaBoa,pos
65,Banco investe U$ 1 bilhão pra combater racismo e desigualdade,SoNoticiaBoa,pos
66,"“Papai mudou o mundo”, diz filha de 6 anos de George...",SoNoticiaBoa,pos
67,Covid derruba desperdício e aumenta consumo de comida saudável,SoNoticiaBoa,pos
68,Olho biônico imita retina e pode devolver visão a milhões de...,SoNoticiaBoa,pos
69,"Maçaneta, corrimão e materiais de cobre matam covid em 4 horas",SoNoticiaBoa,pos
70,Deu certo! Foguete da SpaceX foi lançado rumo à Estação Espacial,SoNoticiaBoa,pos
71,Astronautas vão hoje para o espaço: nave de Elon Musk,SoNoticiaBoa,pos
72,Idosa de 103 vence covid e comemora com cerveja: vídeo,SoNoticiaBoa,pos
73,Festa com desfile drive-thru? Sobrevivente do holocausto faz 100 anos,SoNoticiaBoa,pos
74,Nasa e Space X levam astronautas ao espaço hoje: transmissão ao...,SoNoticiaBoa,pos
75,2 milhões de recuperados da covid no mundo e Brasil sobe...,SoNoticiaBoa,pos
76,Neto faz cortina para abraçar avó na quarentena: emoção,SoNoticiaBoa,pos
77,"Após Twitter, Facebook também anuncia home office para sempre",SoNoticiaBoa,pos
78,Presidente de Portugal de máscara no mercado dá exemplo ao mundo,SoNoticiaBoa,pos
79,Astrônomos flagram nascimento de planeta bebê. Vídeo,SoNoticiaBoa,pos
80,Idoso do desafio do andador será condecorado Cavaleiro pela rainha,SoNoticiaBoa,pos
81,Leite materno de recuperadas poderá ser usado para tratar covid,SoNoticiaBoa,pos
82,Itália e Irlanda retomam atividades após isolamento,SoNoticiaBoa,pos
83,6 motivos para ler notícias positivas: estudos,SoNoticiaBoa,pos
84,"Quem recusaria US$ 8 milhões em anúncios no site? Avi, 17...",SoNoticiaBoa,pos
85,Nenhuma morte por covid! Vietnam reabre após medidas duras: exemplo,SoNoticiaBoa,pos
86,Fabricante do Remdesivir abre mão da patente do remédio: covid,SoNoticiaBoa,pos
87,Menina cria cortina protetora e abraça avós: covid,SoNoticiaBoa,pos
88,"Mundo já tem 1,5 milhão de recuperados da covid e Brasil...",SoNoticiaBoa,pos
