,titulo,portal,sentiment
0,Sobe para 41 o número de mortos na Baixada Santista,Veja,neg
1,"Vítimas de Suzano, Brumadinho e da Boate Kiss: a dor do trauma",Veja,neg
2,A revolta da mãe de vítima do Ninho do Urubu um ano após o incêndio,Veja,neg
3,Ninho do Urubu: famílias ainda aguardam indenização,Veja,neg
4,Artigo: ‘O que fazer para evitar novas tragédias como a de Brumadinho’,Veja,neg
5,O que empregados da Boeing diziam sobre o 737-MAX: ‘Palhaços o projetaram’,Veja,neg
6,Austrália: um país em chamas,Veja,neg
7,O inferno pessoal de Richard Jewell retratado em filme de Clint Eastwood,Veja,neg
8,Cabeça d’água atinge cachoeira em Minas Gerais e deixa três mortos,Veja,neg
9,Quem são as vítimas da queda de elevador em Santos,Veja,neg
10,"Incêndio, terremoto, inundação, furacão: as tragédias naturais de 2019",Veja,neg
11,Queda de avião no Cazaquistão deixa 12 mortos e 17 em estado grave,Veja,neg
12,Deslizamento de terra deixa 4 mortos em Campos do Jordão (SP),Veja,neg
13,LUTO: Mais uma vítima do acidente aéreo da Bahia,Veja,neg
14,"‘Voluntários tiveram papel de destaque na limpeza do óleo’, diz almirante",Veja,neg
15,Fla terá que pagar pensão de R$ 10 mil aos familiares das vítimas do Ninho,Veja,neg
16,Aeronave bimotor cai na região da Serra da Cantareira em São Paulo,Veja,neg
17,A luta dos sobreviventes do voo da Bahia que ainda estão internados,Veja,neg
18,"Morre copiloto de avião particular que caiu em Maraú, na Bahia",Veja,neg
19,Heroísmo e dor: os detalhes e consequências da queda do avião na Bahia,Veja,neg
20,Corpo de Tuka Rocha será velado por religioso anglicano,Veja,neg
21,Rapaz morto em queda de marquise comemorava aniversário de amigo,Veja,neg
22,"Bombeiro de Mariana e Brumadinho: ‘Muitas mortes, arrisquei minha vida’",Veja,neg
23,"Mil dias após tragédia da Chapecoense, sobrevivente ainda luta por justiça",Veja,neg
24,Bombeiros confirmam sétima morte em desabamento em Fortaleza,Veja,neg
25,"“Pai, estou vivo”",Veja,neg
26,Sobe para 5 o número de mortos em desabamento de edifício em Fortaleza,Veja,neg
27,Prédio de sete andares desaba em Fortaleza,Veja,neg
28,Brumadinho: Bombeiros encontram corpo oito meses após tragédia,Veja,neg
29,Bombeiros encontram corpo de vítima da tragédia de Brumadinho,Veja,neg
30,"Vale pagará R$ 11,8 milhões a familiares de vítimas de Brumadinho",Veja,neg
31,Queda de avião na Colômbia deixa 7 mortos,Veja,neg
32,CPI de Brumadinho pede indiciamento de ex-presidente e diretores da Vale,Veja,neg
